IntervalTimeStamp,kWh,qualityOfReading
1/1/2012 0:15,3.077755525,0
1/1/2012 0:30,4.501354049,0
1/1/2012 0:45,2.174422522,0
1/1/2012 1:00,3.437444227,0
1/1/2012 1:15,3.437444227,0
1/1/2012 1:30,1.1105127,0
1/1/2012 1:45,4.146717442,0
1/1/2012 2:00,4.501354049,0
1/1/2012 2:15,1.1105127,0
1/1/2012 2:30,3.792080834,0
1/1/2012 2:45,4.501354049,0
1/1/2012 3:00,1.1105127,0
1/1/2012 3:15,4.501354049,0
1/1/2012 3:30,4.501354049,0
1/1/2012 3:45,1.1105127,0
1/1/2012 4:00,3.437444227,0
1/1/2012 4:15,3.437444227,0
1/1/2012 4:30,2.174422522,0
1/1/2012 4:45,4.501354049,0
1/1/2012 5:00,3.437444227,0
1/1/2012 5:15,1.819785915,0
1/1/2012 5:30,4.501354049,0
1/1/2012 5:45,3.437444227,0
1/1/2012 6:00,1.1105127,0
1/1/2012 6:15,4.146717442,0
1/1/2012 6:30,4.501354049,0
1/1/2012 6:45,1.1105127,0
1/1/2012 7:00,3.792080834,0
1/1/2012 7:15,4.501354049,0
1/1/2012 7:30,1.1105127,0
1/1/2012 7:45,4.160909511,0
1/1/2012 8:00,4.522038361,0
1/1/2012 8:15,1.1105127,0
1/1/2012 8:30,2.189578801,0
1/1/2012 8:45,2.189578801,0
1/1/2012 9:00,1.1105127,0
1/1/2012 9:15,2.189578801,0
1/1/2012 9:30,2.189578801,0
1/1/2012 9:45,1.1105127,0
1/1/2012 10:00,2.189578801,0
1/1/2012 10:15,2.189578801,0
1/1/2012 10:30,1.1105127,0
1/1/2012 10:45,2.189578801,0
1/1/2012 11:00,2.189578801,0
1/1/2012 11:15,1.1105127,0
1/1/2012 11:30,1.630783575,0
1/1/2012 11:45,1.630783575,0
1/1/2012 12:00,1.1105127,0
1/1/2012 12:15,1.630783575,0
1/1/2012 12:30,1.630783575,0
1/1/2012 12:45,1.1105127,0
1/1/2012 13:00,1.1105127,0
1/1/2012 13:15,1.1105127,0
1/1/2012 13:30,1.630783575,0
1/1/2012 13:45,1.630783575,0
1/1/2012 14:00,1.1105127,0
